domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
li-public.fmcsa.dot.gov,361863,3983545,152364,11.00843413,849.0199412,395383
vcss.ocfo.gsa.gov,5333,35044,2285,6.571160698,847.0990062,5333
onlineforms.edgarfiling.sec.gov,11427,191216,4571,16.73370088,832.9527435,12189
gsa.dotgov.gov,12951,30473,762,2.352945718,829.0525056,12951
humanresearchroadmap.nasa.gov,1524,8380,1524,5.498687664,821.3038058,2285
usatrade.census.gov,2285,383194,3047,167.6997812,818.828884,3047
applicationmanager.gov,1031501,17800633,592694,17.25701962,815.3923389,1031501
hra.myhealth.va.gov,4571,141698,3047,30.99934369,815.1500766,3047
adviserinfo.sec.gov,112749,885994,60184,7.858109606,799.1826092,122653
afadvantage.gov,1524,37329,1524,24.49409449,790.8110236,1524
above.nasa.gov,2285,9904,3047,4.334354486,787.4892779,3047
sandiego.jobcorps.gov,1524,3047,1524,1.999343832,779.3136483,1524
ladsweb.nascom.nasa.gov,25140,291014,10665,11.57573588,764.9389419,26664
